
央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$(超清)1080p
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$(超清)1080p
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$(超清)1080p
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$(超清)1080p
CCTV4欧洲, http://gmxw.7766.org:808/hls/67/index.m3u8
CCTV4美洲,http://gmxw.7766.org:808/hls/77/index.m3u8
CCTV4K,
CCTV4K-25P-SDR源,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$(超清)1080p
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$(超清)1080p
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$(超清)1080p
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$(超清)1080p
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$(超清)1080p
CCTV8K-50FPS, http://159.75.85.63:8654/xx8k50fps.php
CCTV8K,http://159.75.85.63:8765/xxtv8k.php
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$(超清)1080p
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$(超清)1080p
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$(超清)1080p
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$(超清)1080p
CCTV16-4K,
CCTV16-4K-50P-HLG, http://159.75.85.63:5681/sxg.php?id=CCTV-16-4K_8000
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CHC高清电影,
CHC家庭影院,
CHC动作电影,
CCTV电视指南,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV第一剧场, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV怀旧剧场, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV兵器科技,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV世界地理,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV女性时尚,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV风云剧场,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV风云音乐,
CCTV风云足球, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV央视台球,
CCTV高尔夫•网球,
CCTV央视文化精品,
卫视频道,#genre#
江西卫视,http://61.140.112.110:808/hls/19/index.m3u8
新疆卫视,http://106.124.91.222:9901/tsfile/live/21212_1.m3u8
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd/4000000
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000
贵州卫视, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
深圳卫视,http://36.96.38.246:8888/newlive/live/hls/28/live.m3u8
湖北卫视,http://php.jdshipin.com:8880/bst.php?id=hbwshd/4000000
内蒙古卫视, http://php.jdshipin.com:8880/bst.php?id=nmgws/1300000
山东卫视, https://epg.pw/stream/6e0b6e5fe80e21289c27ceeafced6800e23f6c48ade127aa20eb2712aebd2b2a.m3u8
宁夏卫视,http://222.188.68.38:8888/newlive/live/hls/55/live.m3u8
西藏卫视,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/xzws/2500000/mnf.m3u8
河南卫视,http://171.8.245.39:808/hls/16/index.m3u8
吉林卫视, http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
三沙卫视,http://36.96.38.246:8888/newlive/live/hls/51/live.m3u8
东方卫视, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
四川卫视, http://php.jdshipin.com:8880/bst.php?id=scwshd8m/8000000
重庆卫视, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
湖南卫视, http://iptv123.msns.cn:9901/tsfile/live/0128_1.m3u8
广西卫视, http://120.7.86.41:808/hls/33/index.m3u8
东南卫视,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
黑龙江卫视, http://php.jdshipin.com:8880/bst.php?id=hljwshd/4000000
黑龙江卫视, http://php.jdshipin.com:8880/bst.php?id=hljwshd8m/8000000
陕西卫视,http://php.jdshipin.com:8880/bst.php?id=sxws/1300000
山西卫视, http://live.cooltv.top/tv/tide.php?id=sxiws2
海南卫视, http://59.44.192.22:65000/hls/99/index.m3u8
辽宁卫视,http://123.163.55.234:9901/tsfile/live/0121_1.m3u8
北京卫视, http://php.jdshipin.com:8880/bst.php?id=bjwshd/4000000
江苏卫视,http://171.8.245.48:808/hls/30/index.m3u8
青海卫视, http://stream.qhbtv.com/qhws/sd/live.m3u8
天津卫视,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
浙江卫视, http://php.jdshipin.com:8880/bst.php?id=zjwshd/4000000
河北卫视, http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
云南卫视,http://113.57.109.36:9901/tsfile/live/0119_1.m3u8
安徽卫视,http://49.71.78.122/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000298003.m3u8

江苏综合,#genre#
江苏卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
如东新闻,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
常熟民生经济,http://cstvplay.21cs.cn/cstv2/cstv2.m3u8
常熟综合,http://cstvplay.21cs.cn/cstv1/cstv1.m3u8
无锡娱乐,http://stream.thmz.com/wxtv2/playlist.m3u8
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8?zjiangsd
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8?zjiangsd
赣榆新闻综合,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8?zjiangsd
宿豫综合频道,https://suyu-tv-hls.cm.jstv.com/suyu-tv/syzhpd.m3u8?zjiangsd
海安新闻综合,http://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh.m3u8?zjiangsd
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8?zjiangsd
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
江阴新闻综合,http://221.228.70.101:8080/live/xinwen.m3u8
无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8?zjiangsd
金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8?zjiangsd
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8?zjiangsd
睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8?zjiangsd
姜堰新闻综合,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8?zjiangsd
靖江新闻综合,rtmp://visit.jjbctv.com:1935/live/xwzhpc?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8#rtmp://visit.jjbctv.com:1935/live/xwzhpc
沛县新闻综合,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8?zjiangsd
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8?zjiangsd
连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/500k.m3u8?zjiangsd
南京信息,http://live.nbs.cn/channels/njtv/xxpd/500k.m3u8?zjiangsd
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8?zjiangsd
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8?zjiangsd
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8?zjiangsd
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8?zjiangsd
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
睢宁资讯频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningys.m3u8?zjiangsd
无锡新闻综合,http://stream.thmz.com/wxtv1/playlist.m3u8
无锡经济,http://stream.thmz.com/wxtv5/playlist.m3u8
无锡生活,http://stream.thmz.com/wxtv4/playlist.m3u8
连云港新闻综合,http://live.lyg1.com/zhpd/sd/live.m3u8
镇江新闻综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
镇江民生,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
溧水新闻,http://live.lsrmw.cn/zhpd/sd/live.m3u8
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
靖江电视,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8
江宁新闻频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8?zjiangsd
溧水新闻综合,http://live.lsrmw.cn/zhpd/sd/live.m3u8?zjiangsd
溧水影院娱乐,http://live.lsrmw.cn/ysyl/sd/live.m3u8?zjiangsd
武进新闻频道,https://live.wjyanghu.com/live/CH1.m3u8?zjiangsd
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8?zjiangsd
新沂生活频道,http://live.xysrmt.cn/shpd/sd/live.m3u8?zjiangsd
新沂新闻频道,http://live.xysrmt.cn/xwzh/sd/live.m3u8?zjiangsd
涟水综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8?zjiangsd
苏州新闻综合,https://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,https://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,https://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,https://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
姜堰新闻综合,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8
扬州综合,https://cm-wshls.homecdn.com/live/8bb.m3u8
扬州城市,https://cm-wshls.homecdn.com/live/8bd.m3u8
扬州生活,https://cm-wshls.homecdn.com/live/8bf.m3u8
扬州邗江,https://cm-wshls.homecdn.com/live/8c3.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
纪实科教,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8
江宁新闻频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8
金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8
睢宁资讯频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningys.m3u8
沛县新闻综合,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8
无锡新闻综合频道,http://stream.thmz.com/wxtv1/playlist.m3u8?_upt=b27ac8431707368778
无锡娱乐频道,http://stream.thmz.com/wxtv2/playlist.m3u8?_upt=22c8ae641707368797
无锡经济频道,http://stream.thmz.com/wxtv5/playlist.m3u8?_upt=2e07387a1707368071
无锡生活频道,http://stream.thmz.com/wxtv4/playlist.m3u8?_upt=8c51357c1707362770
赣榆新闻综合频道,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8
睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8
睢宁综合频道,http://suining-tv-hls.cm.jstv.com:80/suining-tv/suiningzh.m3u8
睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8
海安新闻综合频道,http://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh.m3u8
涟水电视台综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
扬州新闻频道,http://cm-wshls.homecdn.com/live/8bb.m3u8
扬州城市频道,http://cm-wshls.homecdn.com/live/8bd.m3u8
扬州生活频道,http://cm-wshls.homecdn.com/live/8bf.m3u8
扬州邗江频道,http://cm-wshls.homecdn.com/live/8c3.m3u8
镇江新闻综合频道,http://cm-wshls.homecdn.com/live/2aa50.m3u8
镇江二套社会民生频道,http://cm-wshls.homecdn.com/live/2aa16.m3u8
红河州新闻综合,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
红河州公共频道,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel2/playlist.m3u8
怒江新闻综合,http://livebroadcast.ccwb.cn/live/w1620805130988936.m3u8
新平综合,http://livebroadcast.ccwb.cn/live/w1615257519790969.m3u8
镇雄电视台,http://livebroadcast.ccwb.cn/live/w1606722098119972.m3u8
福贡综合,http://livebroadcast.ccwb.cn/live/w1612505860303999.m3u8
红河县综合,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel3/playlist.m3u8
麻栗坡电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
常州武进区,http://live.wjyanghu.com/live/CH2.m3u8
武进新闻,http://live.wjyanghu.com/live/CH1.m3u8
淮安影视娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8
苏州4k频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
优漫卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225795/1.m3u8?zjiangsd
扬州城市,http://cm-wshls.homecdn.com/live/8bd.m3u8?wsSession=1f25274f7b3198712509a034-170700976921087&wsIPSercert=89fe300c399db7d6f393faba0c3a0583
扬州生活,http://cm-wshls.homecdn.com/live/8bf.m3u8?wsSession=61c1958a14c1cbd8ad4e3099-170701009763685&wsIPSercert=89fe300c399db7d6f393faba0c3a0583
扬州邗江,http://cm-wshls.homecdn.com/live/8c3.m3u8?wsSession=dd69cebe2fc221b74a70da59-170701013209602&wsIPSercert=89fe300c399db7d6f393faba0c3a0583
江苏城市,http://58.220.219.14:9901/tsfile/live/0120_3.m3u8
江苏综艺,http://58.220.219.14:9901/tsfile/live/0120_4.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksznorecord/csztv4k_4k.m3u8
江苏好享购物,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225757/index.m3u8
江苏城市,http://222.92.7.170:3333/tsfile/live/0120_3.m3u8?key=txiptv&playlive=1&authid=0
江苏综艺,http://222.92.7.170:3333/tsfile/live/0120_4.m3u8?key=txiptv&playlive=1&authid=0
江苏城市,http://58.220.219.14:9901/tsfile/live/0120_3.m3u8?key=txiptv&playlive=1&authid=0
江苏综艺,http://58.220.219.14:9901/tsfile/live/0120_4.m3u8?key=txiptv&playlive=1&authid=0
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8?zjiangsd
如东新闻综合,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8?zjiangsd
江宁新闻频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8?zjiangsd
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8?zjiangsd
金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8?zjiangsd
海安新闻综合,http://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh.m3u8?zjiangsd
泗洪新闻综合,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8?zjiangsd
睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8?zjiangsd
睢宁生活教育,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh.m3u8?zjiangsd
睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8?zjiangsd
姜堰新闻综合,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8?zjiangsd
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8?zjiangsd
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8?zjiangsd
靖江新闻综合,rtmp://visit.jjbctv.com:1935/live/xwzhpc?zjiangsd
